"SITC","Landen","Perioden","Invoerwaarde (mln euro)","Uitvoerwaarde (mln euro)","Handelsbalans (mln euro)","Jaarmutatie invoerwaarde (%)","Jaarmutatie uitvoerwaarde (%)"
"05 Groenten en fruit","Niet-EU","2021 mei","620","316","-304","0,3","-12,3"
"05 Groenten en fruit","Niet-EU","2021 juni","585","372","-213","-5,0","6,9"
"05 Groenten en fruit","Niet-EU","2021 juli","549","364","-184","-0,3","0,1"
"05 Groenten en fruit","Niet-EU","2021 augustus","520","389","-132","17,1","8,2"
"05 Groenten en fruit","Niet-EU","2021 september","556","424","-132","1,9","4,7"
"05 Groenten en fruit","Niet-EU","2021 oktober","535","400","-136","-2,6","-12,0"
"05 Groenten en fruit","Niet-EU","2021 november","593","432","-160","6,0","-2,3"
"05 Groenten en fruit","Niet-EU","2021 december","628","382","-246","11,7","-3,7"
"05 Groenten en fruit","Niet-EU","2021","7.163","4.391","-2.772",".","."
"05 Groenten en fruit","Niet-EU","2022 januari*","612","322","-289",".","."
"05 Groenten en fruit","Niet-EU","2022 februari*","562","327","-234",".","."
"05 Groenten en fruit","Niet-EU","2022 maart*","775","382","-393",".","."
"05 Groenten en fruit","Niet-EU","2022 april*","696","411","-285",".","."
"06 Suiker en suikerwerken, honing","Totaal landen","2021 mei","79","135","56","14,6","16,1"
"06 Suiker en suikerwerken, honing","Totaal landen","2021 juni","87","153","66","12,7","16,2"
"06 Suiker en suikerwerken, honing","Totaal landen","2021 juli","81","145","64","2,1","14,1"
"06 Suiker en suikerwerken, honing","Totaal landen","2021 augustus","87","135","48","22,3","13,9"
"06 Suiker en suikerwerken, honing","Totaal landen","2021 september","89","150","61","11,4","5,0"
"06 Suiker en suikerwerken, honing","Totaal landen","2021 oktober","89","145","57","-5,8","5,7"
"06 Suiker en suikerwerken, honing","Totaal landen","2021 november","99","160","61","20,0","19,8"
"06 Suiker en suikerwerken, honing","Totaal landen","2021 december","92","157","65","15,4","28,0"
"06 Suiker en suikerwerken, honing","Totaal landen","2021","1.019","1.720","701","7,2","13,0"
"06 Suiker en suikerwerken, honing","Totaal landen","2022 januari*","82","135","53",".","."
"06 Suiker en suikerwerken, honing","Totaal landen","2022 februari*","87","134","47",".","."
"06 Suiker en suikerwerken, honing","Totaal landen","2022 maart*","108","162","54",".","."
"06 Suiker en suikerwerken, honing","Totaal landen","2022 april*","98","144","45",".","."
"06 Suiker en suikerwerken, honing","EU (exclusief Nederland)","2021 mei","65","99","35","20,5","32,1"
"06 Suiker en suikerwerken, honing","EU (exclusief Nederland)","2021 juni","73","112","39","18,8","29,5"
"06 Suiker en suikerwerken, honing","EU (exclusief Nederland)","2021 juli","67","103","36","1,8","21,2"
